fpr,tpr,threshold
0.0013742053161911847,0.6486486486486487,0.9870559731467298
0.0013742053161911847,0.65,0.9870442429419073
0.0013848306150277144,0.65,0.9869836110555246
0.0013848306150277144,0.6513513513513514,0.986948083659434
0.0014096229789796171,0.6513513513513514,0.9867413285690985
0.0014096229789796171,0.654054054054054,0.986574464080583
0.0014131647452584604,0.654054054054054,0.9864591451187346
0.0014131647452584604,0.6567567567567567,0.9863521762340147
0.0014167065115373036,0.6567567567567567,0.9863294340928377
0.0014167065115373036,0.6581081081081082,0.9862681779096495
0.0014450406417680498,0.6581081081081082,0.9859186149407256
0.0014450406417680498,0.6608108108108108,0.9858450402999475
0.001448582408046893,0.6608108108108108,0.9858290044313043
0.001448582408046893,0.6621621621621622,0.9857898350510947
0.0014556659406045796,0.6621621621621622,0.985644421423763
0.0014556659406045796,0.6635135135135135,0.9856366862614067
0.0015123342010660717,0.6635135135135135,0.9851408009027905
0.0015123342010660717,0.6648648648648648,0.9851331119721121
0.0015477518638545042,0.6648648648648648,0.9848402492833469
0.0015477518638545042,0.6662162162162162,0.9847826002054333
0.0015973365917583099,0.6662162162162162,0.984257254129938
0.0015973365917583099,0.6675675675675675,0.984213031388495
0.001615045423152526,0.6675675675675675,0.9841238900277584
0.001615045423152526,0.668918918918919,0.9840445513949355
0.0016185871894313694,0.668918918918919,0.9840175040410689
0.0016185871894313694,0.6702702702702703,0.9839435419242529
0.0016433795533832723,0.6702702702702703,0.9837432868209609
0.0016433795533832723,0.6716216216216216,0.9837278041365558
0.001682338982450548,0.6716216216216216,0.9831672751073248
0.001682338982450548,0.672972972972973,0.9831357948125583
0.0017000478138447645,0.672972972972973,0.9829546105102158
0.0017000478138447645,0.6743243243243243,0.9829188321368318
0.001707131346402451,0.6743243243243243,0.9828035683927591
0.001707131346402451,0.6756756756756757,0.9827241148891043
0.0017142148789601375,0.6756756756756757,0.982685694061919
0.0017142148789601375,0.677027027027027,0.982682369982499
0.0017531743080274132,0.677027027027027,0.9823794540490448
0.0017531743080274132,0.6783783783783783,0.9823051953656845
0.0017637996068639431,0.6783783783783783,0.9822880276041823
0.0017637996068639431,0.6797297297297298,0.9822486169722026
0.0017744249057004729,0.6797297297297298,0.9821954419801354
0.0017744249057004729,0.6851351351351351,0.9820506543686051
0.001845260231277338,0.6851351351351351,0.981335605589866
0.001845260231277338,0.6864864864864865,0.9813036548257433
0.0018488019975561813,0.6864864864864865,0.981195488884495
0.0018488019975561813,0.6891891891891891,0.9811223183634082
0.0018558855301138678,0.6891891891891891,0.9809455799776653
0.0018558855301138678,0.6905405405405406,0.980862624777367
0.001859427296392711,0.6905405405405406,0.9807888454886082
0.001859427296392711,0.6918918918918919,0.9807844530822428
0.0018665108289503975,0.6918918918918919,0.9807308996050259
0.0018665108289503975,0.6932432432432433,0.9807278483574575
0.0018700525952292408,0.6932432432432433,0.98072481295289
0.0018700525952292408,0.6945945945945946,0.9807095642137952
0.0018913031929023005,0.6945945945945946,0.9802510328564625
0.0018913031929023005,0.6959459459459459,0.9802342445181569
0.0018948449591811437,0.6959459459459459,0.9801942170703666
0.0018948449591811437,0.6972972972972973,0.9801794988609142
0.001955054985921479,0.6972972972972973,0.9796076599558908
0.001955054985921479,0.6986486486486486,0.9795902746882729
0.0019585967522003224,0.6986486486486486,0.9795571294439207
0.0019585967522003224,0.7,0.9795481203434286
0.001965680284758009,0.7,0.9795403166458395
0.001965680284758009,0.7013513513513514,0.9794579541606347
0.001969222051036852,0.7013513513513514,0.979457401057586
0.001969222051036852,0.7027027027027027,0.9794029279613975
0.0020435991428925603,0.7027027027027027,0.9785484539955238
0.0020435991428925603,0.7054054054054054,0.9784703317016664
0.0020542244417290903,0.7054054054054054,0.9783940836939938
0.0020542244417290903,0.7067567567567568,0.9783181236846513
0.0020896421045175227,0.7067567567567568,0.9778125036668462
0.0020896421045175227,0.7081081081081081,0.9777723668181071
0.0021286015335847987,0.7081081081081081,0.977138533294644
0.0021286015335847987,0.7094594594594594,0.9771203094110625
