,count,mean,std,min,25%,50%,75%,max
nim,924206.0,0.04060735363919283,0.010161902708839264,0.00955040755906596,0.03447554217006423,0.0398264464822321,0.04567840375028606,0.11650243406665604
efficiency_ratio,941164.0,0.7068785891960948,0.2641947638702825,0.26474223375052564,0.5753358150598171,0.6678248783877693,0.7769871430641789,4.184986312446821
nonii_share,941164.0,0.16754477578646657,0.14710146249556152,-0.29419010098286497,0.08883405305367058,0.13650375566373096,0.19769811107130544,0.9925741963491455
provision_to_nii,940492.0,0.06562269269573515,0.15560273888497106,-0.20303576382358224,0.0,0.027124773960216998,0.06624683814457748,3.41522723414645
interest_exp_ratio,926450.0,0.01887503380234786,0.012941434859824732,0.0,0.006779747219901399,0.01723339600872196,0.030058766551212722,0.05472183450516456
op_income_assets,926450.0,0.00937230031761204,0.011391725654101632,-0.10181489150112126,0.005740102196660501,0.009710759920621035,0.013652848730523824,0.10666352715119264
loans_to_deposits,934589.0,0.7622950936210882,0.22906749405169083,0.012560173022196964,0.6279219940591502,0.771205424713931,0.9025444143330322,1.791244038356242
cash_sec_to_assets,943615.0,0.3053721404374873,0.16606769490987955,0.01285948508163894,0.18362405046745894,0.2791542998835331,0.39832675112508076,0.9198381259508193
brokered_dep_ratio,932215.0,0.02373086069744562,0.06318650162881273,0.0,0.0,0.0,0.008470729233341672,0.5983648840332788
core_dep_to_assets,942528.0,0.711306106861505,0.1546731084839883,0.0,0.6606912264625069,0.7448395424337335,0.8081471111021371,0.9599458319630506
fed_funds_purch_assets,943615.0,0.011379451064758881,0.02757474162289437,0.0,0.0,0.0,0.007943261226469451,0.21462890778718635
liquid_assets_ratio,943615.0,0.33734237278194606,0.1726226669397079,0.028237145181994695,0.2105017257453579,0.3103274094293527,0.43397861581478037,0.9291810582701099
insured_dep_ratio,934589.0,0.0004482789512226948,0.001069127434265342,0.0,0.0,0.0,0.00044053914546109623,0.016446790041397603
volatile_liab_ratio,943614.0,0.11677177594823819,0.0890499563620335,0.0,0.0516125469230506,0.09865269226484691,0.16058581738978356,0.5698114755050109
cre_total_capital,941156.0,1.8561160627523539,1.5718520543228658,0.0,0.5714268832887665,1.4800278459489373,2.8101382018453283,11.396354758259012
ci_total_loans,928514.0,0.13884614184392838,0.10793779889467542,0.0,0.06424055465428653,0.11823127383582027,0.18801318209192489,0.6363840262040904
cre_total_loans,928514.0,0.29507916003508555,0.20638667005827296,0.0,0.12254832195692936,0.26158207974202846,0.4389506511048877,0.8958129322604758
resi_re_total_loans,927278.0,0.3212190632806255,0.2244907159810344,0.0,0.15704740727939961,0.2736601830801728,0.4309305921245187,0.967499169139548
construction_total_loans,927278.0,0.062520693997481,0.07566081358650256,0.0,0.00991003859253918,0.03689169855964448,0.08731424034675767,0.5836155250370538
consumer_total_loans,926095.0,0.08816954999910168,0.10269108559592989,0.0,0.01958427325502857,0.05534258409373144,0.11865523892864938,0.7689927278353705
unused_commit_assets,943614.0,0.1005071194992257,0.08981180753023767,0.0,0.042030878280822206,0.08149266701850102,0.13415181890787936,0.8384199891446232
deriv_notional_assets,943615.0,0.004212187693349214,0.025187893552666013,0.0,0.0,0.0,0.0,0.383634143154171
cc_unused_commit,902338.0,0.00467455865535734,0.021353803318318775,0.0,0.0,0.0,0.0,0.41257410169770203
cre_unused_commit,876341.0,0.023999779691822893,0.032518359670611126,0.0,0.0007513490130006147,0.012160128252685077,0.033609928113260856,0.25782732244256196
qoq_asset_growth,928862.0,0.021749438042690004,0.06235334680745053,-0.13885959376640195,-0.008495767330739784,0.012434584047424237,0.03799796145019988,0.5966839720289142
qoq_loan_growth,928860.0,0.02537079436137135,0.0818678710410323,-0.18377900782204204,-0.008728479617207999,0.014002047610829498,0.041997388061087104,1.0131286318332249
qoq_deposit_growth,928860.0,0.02363645323927751,0.0794131159330779,-0.1522193697885811,-0.011959894874465294,0.010993039543336549,0.040597926909580195,0.8157806759585489
qoq_equity_growth,926450.0,0.017523862877580725,0.06601253331909417,-0.6590463323582316,-0.001347693193785,0.015356779055226897,0.032116478338104895,1.6122828929448818
yoy_asset_growth,885725.0,0.09493281789930581,0.19756939998372852,-0.24222538784828512,0.00647640581386687,0.053003491122039115,0.11879682030815532,1.9866817889936985
yoy_loan_growth,885723.0,0.11302604264484338,0.3015629984426825,-0.323575564372369,0.0,0.06115735235830361,0.1405635449254849,4.179507741866166
qoq_npl_change,913947.0,-1.2812059399453032e-05,0.0038543720115069057,-0.023331334726839716,-0.00025705867899185504,0.0,0.00023185257550040677,0.02466184594251166
qoq_provision_change,897823.0,-5.0324571335453246e-05,0.004442257867075266,-0.07324428315153442,-0.00038780414874207893,0.0,0.0002925704088094336,0.07552300507590955
